Price,Number of bedrooms,Square footage
$3250,2,
$1800,2,
$1950,1,850
$1550,1,590
$2050,3,2200
$2500,3,
$2890,3,
$2600,4,
$2399,4,
$2350,3,
$2200,2,
$3400,3,
$2100,1,
$3750,2,
$3150,2,
$2850,2,850
$2890,2,950
$2000,1,650
$2500,2,950
$3000,2,1300
$3200,3,1900
$2975,2,1100
$1800,,415
$2850,2,750
$2800,2,950
$1150,2,
$1995,1,600
$1200,1,
$2150,1,600
$3277,3,2200
$3277,3,2200
$2750,2,950
$1950,1,550
$1900,1,550
$1850,1,550
$2900,2,750
$2100,3,
$1975,1,
$1700,3,
$1350,2,1000
$1060,2,
$1400,2,
$925,1,
$2500,2,650
$1800,1,550
$1690,,415
$1650,,415
$1950,1,550
$1500,3,
$2375,2,750
$2250,2,550
$2000,1,650
$2550,2,650
$1850,,415
$1250,1,
$3190,2,1100
$6950,3,2600
$1850,1,415
$2650,3,750
$2050,1,650
$2000,1,650
$2050,1,550
$2050,1,750
$1750,2,610
$2995,3,1600
$2595,1,800
$2200,1,
$2177,2,850
$2477,2,1100
$2200,2,
$1900,1,
$1750,,450
$1050,1,
$2250,2,650
$2000,1,650
$1995,1,550
$1995,1,550
$1900,1,650
$2600,3,
$1650,3,
$2500,2,1050
$4995,2,1300
$2300,1,
$2150,1,600
$3200,2,
$1900,1,415
$1875,1,415
$1850,1,550
$2550,2,650
$2975,3,1100
$4000,2,950
$2600,2,945
$3500,2,1300
$3150,3,1300
$2500,1,950
$2495,1,
$3195,2,
$1895,1,550
$1800,,415
$1950,1,550
$1850,1,415
$2400,2,650
$4500,1,2200
$2000,1,550
$2,,850
$4500,1,2200
$3500,3,
$1650,1,
$1,1,800
$2600,2,850
$2495,2,670
$2400,2,750
$1800,1,415
$1895,1,415
$2200,1,
$2200,2,745
$1600,2,750
$2400,1,
$1900,3,
$2200,1,
$2200,1,
$2300,1,
$3600,3,3000
$2100,3,
$2400,1,600
$1899,1,634
$2350,1,
$2000,1,
$2950,3,1200
$1100,2,445
$1800,1,
$2350,1,650
$1040,1,
$2100,1,
$2300,3,1825
$1850,1,550
$4995,2,
$1895,1,1000
$1850,1,400
$4000,2,
$4400,2,1300
$2300,2,
$2500,2,950
$2200,1,
$2000,2,1199
$1975,1,550
$1950,1,415
$2750,1,
$1950,1,650
$1950,1,415
$1950,1,415
$1450,1,
$2200,2,
$2300,3,1000
$1700,2,
$2100,1,
$1950,1,550
$1900,1,550
$2700,2,650
$1900,1,550
$2000,1,550
$2000,1,
$1900,1,
$12000,4,3000
$1900,1,
$1900,1,
$1800,2,
$1650,1,535
$2200,1,800
$2100,3,
$3100,1,780
$3450,2,860
$1830,1,580
$2750,1,
$2700,2,
$2500,1,650
$2300,1,
$9500,5,2125
$2250,1,
$1550,1,675
$1150,1,675
$1275,1,
$2000,1,650
$2600,2,
$2600,1,
$1850,1,488
$2200,1,
$2350,1,
$2180,1,
$2500,2,
$4995,2,1200
$3490,3,
$5000,3,
$3000,2,950
$2300,1,
$2200,1,799
$2150,1,599
$2280,4,
$2000,1,
$2150,1,
$2100,1,599
$1100,,1180
$2650,1,405
$1100,2,
$3400,2,950
$1200,2,1200
$1200,2,1280
$1200,2,1200
$900,1,
$1100,2,1100
$2000,1,
$2150,1,
$1800,1,
$1850,1,475
$2050,1,
$1900,1,430
$2075,1,545
$2050,1,
$2050,1,599
$4450,2,1233
$2350,2,730
$1500,1,
$6500,2,1800
$1980,1,499
$1990,2,800
$2950,2,950
$1900,1,
$2200,4,
$1900,2,
$2250,1,
$1975,1,599
$1900,1,
$1700,2,900
$1400,1,600
$1400,1,600
$1700,2,900
$1950,1,599
$1700,2,700
$1400,1,
$4990,3,2140
$1700,2,700
$1400,1,
$1700,2,700
$1700,2,900
$1,2,900
$1950,1,499
$4250,3,1100
$10000,3,1000
$2300,1,
$1950,1,499
$1900,1,
$1900,2,600
$1900,1,573
$2150,2,800
$1900,1,555
$3100,2,900
$3200,1,900
$3400,2,1000
$3200,2,900
$1900,1,699
$3150,2,
$1900,1,
$1900,1,
$156,2,1000
$1875,1,600
$2600,1,670
$5980,3,2250
$2400,1,
$3700,2,1001
$3180,2,1102
$1350,1,
$1900,1,499
$1700,1,499
$1499,2,
$1900,1,599
$1400,3,
$1499,2,
$2800,2,
$1499,2,
$2080,1,600
$1675,2,
$1750,2,
$1350,1,
$1499,2,
$1450,2,
$2000,3,
$2400,1,600
$2500,1,600
$2080,1,600
$1990,4,
$3500,2,
$2150,1,
$1900,3,
$1545,1,500
$2395,2,750
$2200,1,
$1900,1,
$1385,1,
$6500,2,1900
$5000,3,
$5500,5,2250
$6300,4,
$2500,4,
$1980,1,
Price,Number of bedrooms,Square footage,Avg. price
Price,Number of bedrooms,Square footage,Avg. price
Price,Number of bedrooms,Square footage,Avg. price
Price,Number of bedrooms,Square footage,Avg. price
