counter,name,single_or_multiple_episodes,first_ep,last_ep,seasons_array
111,Charles Percy,multiple,Invasion,Unbreak My Heart,"['6', '8', '12']"
112,Michael Perkins,single,Contamination,,
113,Mr. Peterson,single,I Must Have Lost It on the Wind,,
114,Thomas Peterson,multiple,Have You Seen Me Lately?,Moment of Truth,['8']
115,Phillip,single,What You Do for Love,,
116,Diane Pierce,multiple,None of Your Business,"Be Still, My Soul",['13']
117,Mary Portman,multiple,Sanctuary,That's Me Trying,"['6', '7']"
118,Gladys Pulcher,single,It's a Long Way Back,,
119,Nikki Ratlin,single,Superstition,,
120,Marjorie Reed,single,Puzzle With a Piece Missing,,
121,Robbie Reeves,single,Roar,,
122,Lily Ann Reilly,single,The World According to Jake,,
123,Melanie Reynolds,single,Damage Case,,
124,Oliver Richter,single,Golden Hour,,
126,Phillip Robinson,multiple,Where the Wild Things Are,Piece of My Heart,['4']
127,Scott Robinson,single,Where the Wild Things Are,,
128,Cathy Rogerson,single,My Favorite Mistake,,
129,Emily Russell,multiple,Much too Much,Owner of a Lonely Heart,['2']
130,Ruthie Sales,single,The Heart of the Matter,,
131,Tony Savitch,single,A Hard Day's Night,,
132,Erin Shandley,single,Haunt You Every Day,,
133,Unnamed,single,"Gone, Baby, Gone",,
134,Derek Christopher Shepherd,multiple,GA,Private Practice,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']"
135,Mr. Shepherd,single,Who We Are,,
136,Lenny Shulte,single,Seal Our Fate,,
137,David Simons,single,What a Difference a Day Makes,,
138,"""Cosmo"" Singh",single,"There's a Fine, Fine Line",,
139,Mark Everett Sloan,multiple,GA,Grey's Anatomy,"['2', '3', '4', '5', '6', '7', '8', '9']"
140,Jessica Smithson,single,Sweet Surrender,,
141,Drea Spencer,single,And Then There Was One,,
142,Edward Squire,single,Old Time Rock and Roll,,
143,Jeremiah Tate,single,"Deny, Deny, Deny",,
144,Steve Tate,single,Got to Be Real,,
145,Nancy Temple,single,How Insensitive,,
146,Craig Thomas,multiple,Let the Bad Times Roll,Beautiful Doom,"['8', '9']"
147,Kendra Thomas,single,17 Seconds,,
148,Giselle Toussant,single,Time Has Come Today,,
149,Stu Vargas,single,Let It Be,,
150,Blair Vinson,single,Don't Dream It's Over,,
151,Vivian,single,Sanctuary,,
