counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
50,William Dunn,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']",,multiple,['S-5-EP-11'],Wish_You_Were_Here,Wish You Were Here,,,[]
51,"Denny Duquette, Jr.",['Congestive Heart Failure'],,multiple,['S-2-EP-13'],Begin_the_Begin,Begin the Begin,,,[]
52,James Evans,['No diagnosis available'],,multiple,['S-10-EP-4'],Puttin%27_on_the_Ritz,Puttin' on the Ritz,,,[]
53,Elizabeth Fallon,['Pancreatic Cancer'],,multiple,['S-1-EP-4'],No_Man%27s_Land,No Man's Land,,,[]
54,Jesse Fannon,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",,single,[],No_Man%27s_Land,No Man's Land,,,[]
55,Emile Flores,"['Broken ankle', 'Epidural bleed']",,single,[],No_Man%27s_Land,No Man's Land,,,[]
56,Eugene Foote,"['Broken ankle', 'Epidural bleed']",,single,[],No_Man%27s_Land,No Man's Land,,,[]
57,Bizzy Forbes,['No diagnosis available'],,multiple,['S-3-EP-10'],Blowups,Blowups,,,[]
58,Jordan Franklin,"['Ascites', 'Liver disease', 'Hemochromatosis']",,single,[],Blowups,Blowups,,,[]
59,Peter Gekofsky,['No diagnosis available'],,single,[],Blowups,Blowups,,,[]
60,Stan Giamatti,"['Severe bleeding', 'Paralysis']",,multiple,['S-4-EP-9'],"Crash_Into_Me,_Part_1","Crash Into Me, Part 1",,,[]
61,David Gibbs,['No diagnosis available'],,multiple,['S-5-EP-1'],God_Laughs,God Laughs,,,[]
62,Brett Gibson,"['Gunshot wounds', 'Stroke', 'Brain death']",,single,[],God_Laughs,God Laughs,,,[]
63,Peter Gibson,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']",,single,[],God_Laughs,God Laughs,,,[]
64,Susan Grant,['No diagnosis available'],,multiple,['S-3-EP-10'],Blowups,Blowups,,,[]
65,Greta,['Inoperable Glioma'],,single,[],Blowups,Blowups,,,[]
66,Ellis Grey,['No diagnosis available'],,multiple,['S-1-EP-1'],A_Hard_Day%27s_Night,A Hard Day's Night,,,[]
67,Lexie Grey,['No diagnosis available'],,multiple,['S-ERROR-EP-ERROR'],Grey%27s_Anatomy,Grey's Anatomy,,,[]
68,Susan Grey,['No diagnosis available'],,multiple,['S-2-EP-22'],The_Name_of_the_Game,The Name of the Game,,,[]
69,Nick Hanscom,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']",,multiple,['S-4-EP-9'],"Crash_Into_Me,_Part_1","Crash Into Me, Part 1",,,[]
70,Jen Harmon,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']",,multiple,['S-ERROR-EP-ERROR'],Grey%27s_Anatomy,Grey's Anatomy,,,[]
