counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
0,Abraham,['Contusions'],,single,[],,,,,[]
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",,single,[],,,,,[]
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",,single,[],,,,,[]
3,Reed Adamson,['No diagnosis available'],,multiple,['S-6-EP-5'],Invasion,Invasion,,,[]
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",,single,[],Invasion,Invasion,,,[]
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",,single,[],Invasion,Invasion,,,[]
6,Grandma Anderson,['Car accident injuries'],,multiple,['S-8-EP-9'],Dark_Was_the_Night,Dark Was the Night,,,[]
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",,single,[],Dark_Was_the_Night,Dark Was the Night,,,[]
8,Jessica Anderson,['Crash injuries'],,single,[],Dark_Was_the_Night,Dark Was the Night,,,[]
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",,multiple,['S-8-EP-9'],Dark_Was_the_Night,Dark Was the Night,,,[]
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",,single,[],Dark_Was_the_Night,Dark Was the Night,,,[]
11,Harper Avery,['No diagnosis available'],,multiple,['S-6-EP-16'],Perfect_Little_Accident,Perfect Little Accident,,,[]
12,Samuel Norbert Avery,['No diagnosis available'],,single,[],Perfect_Little_Accident,Perfect Little Accident,,,[]
13,Alexander Ball,['Stage IV-B pancreatic cancer'],,single,[],Perfect_Little_Accident,Perfect Little Accident,,,[]
14,Joyce Basche,"['MRSA', 'Abscess']",,multiple,['S-9-EP-20'],She%27s_Killing_Me,She's Killing Me,,,[]
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",,single,[],She%27s_Killing_Me,She's Killing Me,,,[]
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",,single,[],She%27s_Killing_Me,She's Killing Me,,,[]
17,Grace Bickham,['End-stage COPD'],,single,[],She%27s_Killing_Me,She's Killing Me,,,[]
18,Andrew Billings,"['Cardiac myxoma', 'Brain death']",,single,[],She%27s_Killing_Me,She's Killing Me,,,[]
19,Charlie Bilson,"['Crush injuries', 'Internal bleeding', 'Broken nose']",,single,[],She%27s_Killing_Me,She's Killing Me,,,[]
20,Dr. Bones,['No diagnosis available'],,multiple,['S-3-EP-1'],Time_Has_Come_Today,Time Has Come Today,,,[]
21,Heather Brooks,['No diagnosis available'],,multiple,['S-9-EP-1'],"Going,_Going,_Gone","Going, Going, Gone",,,[]
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",,single,[],"Going,_Going,_Gone","Going, Going, Gone",,,[]
23,Rosemary Bullard,"['Cancer', 'Brain Tumor']",,single,[],"Going,_Going,_Gone","Going, Going, Gone",,,[]
24,Henry Burton,['No diagnosis available'],,multiple,['S-7-EP-10'],Adrift_and_at_Peace,Adrift and at Peace,,,[]
25,Jake Burton,['Advanced craniodiaphyseal dysplasia'],,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
26,Rich Campion,"['Mediastinal hematoma', 'Aortic transection']",,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
27,Vivian Carlsmith,['Stage IV Gastrocarcinoma'],,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
28,Emma Carroll,['Stage IV Gastrocarcinoma'],,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
29,Casey (Things We Lost in the Fire),"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
30,Jason Castor,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
31,Alison Clark,['Stage 4 Cancer'],,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
32,Alison Clark (Sympathy for the Parents),"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']",,single,[],Adrift_and_at_Peace,Adrift and at Peace,,,[]
33,Gary Clark,['Gunshot wound'],,multiple,['S-6-EP-19'],Sympathy_for_the_Parents,Sympathy for the Parents,,,[]
34,Elsie Clatch,"['Syncope', 'Loculated acute on chronic subdural hematoma']",,single,[],Sympathy_for_the_Parents,Sympathy for the Parents,,,[]
35,Annie Connors,"['Tumor', 'Difficulty breathing']",,single,[],Sympathy_for_the_Parents,Sympathy for the Parents,,,[]
36,Liz Cooper,"['High output cardiac failure', 'Blood clot', 'Brain death']",,single,[],Sympathy_for_the_Parents,Sympathy for the Parents,,,[]
37,Louise Cortez,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']",,single,[],Sympathy_for_the_Parents,Sympathy for the Parents,,,[]
38,Darren Covington,"['Malignant glioma', 'Encephalitis']",,single,[],Sympathy_for_the_Parents,Sympathy for the Parents,,,[]
39,Bonnie Crasnoff,['Massive internal injuries'],,multiple,['S-2-EP-6'],Into_You_Like_a_Train,Into You Like a Train,,,[]
40,Elyse Cruse,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']",,single,[],Into_You_Like_a_Train,Into You Like a Train,,,[]
41,Ray Daniels,"['Knee injury', 'Hypertrophic cardiomyopathy']",,single,[],Into_You_Like_a_Train,Into You Like a Train,,,[]
42,Danny,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']",,single,[],Into_You_Like_a_Train,Into You Like a Train,,,[]
43,Daphne,"['Infection', 'Septicemia', 'Pseudomonas']",,single,[],Into_You_Like_a_Train,Into You Like a Train,,,[]
44,Kevin Davidson,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",,single,[],Into_You_Like_a_Train,Into You Like a Train,,,[]
45,Troy Davis,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",,single,[],Into_You_Like_a_Train,Into You Like a Train,,,[]
46,Rachel Dawson,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']",,multiple,['S-9-EP-19'],Can%27t_Fight_This_Feeling,Can't Fight This Feeling,,,[]
47,Elena Debray,['Coma'],,single,[],Can%27t_Fight_This_Feeling,Can't Fight This Feeling,,,[]
48,Kyle Diaz,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']",,multiple,['S-12-EP-17'],I_Wear_the_Face,I Wear the Face,,,[]
49,Doc,['No diagnosis available'],,multiple,['S-2-EP-11'],Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,,,[]
