counter,name,diagnosis,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
0,Abraham,Contusions,Lou Cutell,single,Old Time Rock and Roll,,
1,Brad Ackles,"['Lacerations', 'Gunshot wound']",Ken Marino,single,17 Seconds,,
2,Karen Adams,"['Nosebleed', ""Wegener's disease""]",Molly Hagan,single,In Which Addison Finds the Magic,,
3,Reed Adamson,"['Nosebleed', ""Wegener's disease""]",Nora Zehetner,multiple,Invasion,Sanctuary,['6']
4,Winnie Adkins,"['Hemothorax', 'Internal bleeding']",Ruby Jay,single,You Haven't Done Nothin',,
5,Kim Allen,"['Stage IV large-cell lung cancer', 'Pulmonary edema']",Sara Gilbert,single,Suicide is Painless,,
6,Grandma Anderson,Car accident injuries,Evelyn Reese,multiple,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,"['Basilar skull fracture', 'Hemopericardium', 'Carotid dissection', 'Cerebrovascular accident', 'Brain Death']",Christa B. Allen,single,All By Myself,,
8,Jessica Anderson,Crash injuries,Christa B. Allen,single,Suddenly,,
9,Robert Anderson,"['Crushed pelvis', 'Internal bleeding']",Dan Conroy,multiple,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",Khamani Griffin,single,Invest in Love,,
11,Harper Avery,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",Chelcie Ross,multiple,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,"['Short Gut Syndrome', 'Bowel Obstruction', 'Sepsis']",Chelcie Ross,single,All I Could Do Was Cry,,
13,Alexander Ball,Stage IV-B pancreatic cancer,Joel Grey,single,Nothing to Fear,,
14,Joyce Basche,"['MRSA', 'Abscess']",Sarah Lilly,multiple,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",Erinn Hayes,single,I Saw What I Saw,,
16,Ed Beckert,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",Newell Alexander,single,It's a Long Way Back,,
