counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
88,Brett Loveman,actor,single,Home Again,,
89,Robert Martin,Curtis Armstrong,multiple,Much too Much,Owner of a Lonely Heart,['2']
90,Matty,actor,single,It Only Gets Much Worse,,
91,Griffin McColl,actor,single,Odd Man Out,,
92,Gretchen McKay,actor,single,"There's a Fine, Fine Line",,
93,Holden McKee,actor,single,Thanks for the Memories,,
94,Francesca McNeil,Harley Graham,multiple,You Be Illin',Change of Heart,['10']
95,Donald Mercer,actor,single,Throwing it All Away,,
96,Michael,actor,single,One Step Too Far,,
97,Michelle,Sydney Tamiia Poitier,multiple,Love and Lies,Step One,[]
98,Timothy Miller,actor,single,These Ties That Bind,,
99,Dan Mooney,actor,single,Suicide is Painless,,
100,Gloria Murphy,actor,single,You Break My Heart,,
101,Reilly Nash,actor,single,"Slow Night, So Long",,
102,Nate,actor,single,In Which Dell Finds His Fight,,
103,Phillip Nichols,actor,single,The Time Warp,,
104,Nick,Jordan Belfi,multiple,Let the Bad Times Roll,Migration,['8']
105,Benjamin O'Leary,actor,single,I Am a Tree,,
106,George O'Malley,T.R. Knight,multiple,A Hard Day's Night,Good Mourning,"['1', '2', '3', '4', '5', '6']"
107,Harold O'Malley,George Dzundza,multiple,Thanks for the Memories,"Six Days, Part 2","['2', '3']"
108,Bradley Parker,actor,single,Transplant Wasteland,,
109,William Dell Parker,Chris Lowell,multiple,GA,Grey's Anatomy,['3']
110,Heather Parker,Agnes Bruckner,multiple,Contamination,Blowups,[]
111,Charles Percy,Robert Baker,multiple,Invasion,Unbreak My Heart,"['6', '8', '12']"
112,Michael Perkins,actor,single,Contamination,,
113,Mr. Peterson,actor,single,I Must Have Lost It on the Wind,,
114,Thomas Peterson,actor,multiple,Have You Seen Me Lately?,Moment of Truth,['8']
115,Phillip,actor,single,What You Do for Love,,
116,Diane Pierce,LaTanya Richardson Jackson,multiple,None of Your Business,"Be Still, My Soul",['13']
117,Mary Portman,Mandy Moore,multiple,Sanctuary,That's Me Trying,"['6', '7']"
118,Gladys Pulcher,actor,single,It's a Long Way Back,,
119,Nikki Ratlin,actor,single,Superstition,,
120,Marjorie Reed,actor,single,Puzzle With a Piece Missing,,
121,Robbie Reeves,actor,single,Roar,,
122,Lily Ann Reilly,actor,single,The World According to Jake,,
123,Melanie Reynolds,actor,single,Damage Case,,
124,Oliver Richter,actor,single,Golden Hour,,
126,Phillip Robinson,Jason O'Mara,multiple,Where the Wild Things Are,Piece of My Heart,['4']
127,Scott Robinson,actor,single,Where the Wild Things Are,,
128,Cathy Rogerson,actor,single,My Favorite Mistake,,
