counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
0,Abraham,123,single,Old Time Rock and Roll,,
1,Brad Ackles,123,single,17 Seconds,,
2,Karen Adams,123,single,In Which Addison Finds the Magic,,
3,Reed Adamson,Nora Zehetner,multiple,Invasion,Sanctuary,['6']
4,Winnie Adkins,123,single,You Haven't Done Nothin',,
5,Kim Allen,123,single,Suicide is Painless,,
6,Grandma Anderson,Evelyn Reese,multiple,Dark Was the Night,Suddenly,['8']
7,Holly Anderson,123,single,All By Myself,,
8,Jessica Anderson,123,single,Suddenly,,
9,Robert Anderson,Dan Conroy,multiple,Dark Was the Night,Suddenly,['8']
10,Wallace Anderson,123,single,Invest in Love,,
11,Harper Avery,Chelcie Ross,multiple,Perfect Little Accident,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,123,single,All I Could Do Was Cry,,
13,Alexander Ball,123,single,Nothing to Fear,,
14,Joyce Basche,Sarah Lilly,multiple,She's Killing Me,Sleeping Monster,['9']
15,Cathy Becker,123,single,I Saw What I Saw,,
16,Ed Beckert,123,single,It's a Long Way Back,,
17,Grace Bickham,123,single,Break on Through,,
18,Andrew Billings,123,single,Both Sides Now,,
19,Charlie Bilson,123,single,All You Need is Love,,
20,Dr. Bones,123,multiple,Time Has Come Today,,
21,Heather Brooks,Tina Majorino,multiple,"Going, Going, Gone",I Want You With Me,"['9', '10']"
22,Teresa Brotherton,123,single,Physical Attraction... Chemical Reaction,,
23,Rosemary Bullard,123,single,Rise Up,,
24,Henry Burton,Scott Foley,multiple,Adrift and at Peace,Suddenly,"['7', '8']"
25,Jake Burton,123,single,Yesterday,,
26,Rich Campion,123,single,Bad Blood,,
27,Vivian Carlsmith,123,single,Apron Strings,,
28,Emma Carroll,123,single,The Lion Sleeps Tonight,,
29,Casey,123,single,Things We Lost in the Fire,,
30,Jason Castor,123,single,Do You Know?,,
31,Alison Clark,123,single,Here's to Future Days,,
32,Alison Clark,123,single,Sympathy for the Parents,,
33,Gary Clark,Michael O'Neill,multiple,Sympathy for the Parents,Death and All His Friends,['6']
34,Elsie Clatch,123,single,Till I Hear It From You,,
35,Annie Connors,123,single,If Tomorrow Never Comes,,
36,Liz Cooper,123,single,We Are Never Ever Getting Back Together,,
37,Louise Cortez,123,single,Something's Gotta Give,,
38,Darren Covington,123,single,The Becoming,,
39,Bonnie Crasnoff,Monica Keena,multiple,Into You Like a Train,Some Kind of Miracle,"['2', '3']"
40,Elyse Cruse,123,single,Can't Fight This Feeling,,
41,Ray Daniels,123,single,Know When to Fold,,
42,Danny,123,single,With or Without You,,
43,Daphne,123,single,My Next Life,,
